GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US13021013407,13021013407,"Census Tract 134.07, Bibb County, Georgia",849,71,-,**,686,106,840,73,982,62,1309,796,-,**
1400000US13021013408,13021013408,"Census Tract 134.08, Bibb County, Georgia",960,49,-,**,846,168,962,21,-,**,-,**,-,**
1400000US13021013409,13021013409,"Census Tract 134.09, Bibb County, Georgia",981,63,819,470,793,183,938,52,1134,64,-,**,-,**
1400000US13021013410,13021013410,"Census Tract 134.10, Bibb County, Georgia",1174,136,-,**,897,393,1220,1147,-,**,-,**,-,**
1400000US13021013411,13021013411,"Census Tract 134.11, Bibb County, Georgia",944,37,-,**,857,80,989,62,972,267,-,**,-,**
1400000US13021013502,13021013502,"Census Tract 135.02, Bibb County, Georgia",680,238,-,**,-,**,655,197,824,390,-,**,-,**
1400000US13021013503,13021013503,"Census Tract 135.03, Bibb County, Georgia",757,102,-,**,698,30,801,72,657,157,-,**,-,**
1400000US13021013504,13021013504,"Census Tract 135.04, Bibb County, Georgia",876,63,-,**,-,**,880,57,934,421,-,**,-,**
1400000US13021013603,13021013603,"Census Tract 136.03, Bibb County, Georgia",844,192,-,**,-,**,-,**,719,324,1039,145,-,**
1400000US13021013604,13021013604,"Census Tract 136.04, Bibb County, Georgia",892,298,-,**,-,**,931,444,1234,966,-,**,-,**
